1;Hasil Penjumlahan  1  + 3  =;2;4;6;8;1;1;B.  4
2;3 buah apel + 4 buah apel  =; 7  buah apel;  4 buah apel; 6 buah apel; 3 buah apel;1;1;A.  7 buah apel
3;Hasil   5  + 3  =;2;4;6;8;1;1;D. 8
4;6 kucing + 5 kucing  =; 2 ekor kucing;  4 ekor kucing;C.  11 ekor kucing;D.  12 ekor kucing;1;1;C.  11 ekor kucing
5;Hasil Penjumlahan  2  + 3  =;5;4;6;8;1;1;A.  5
6;Elisa mempunyai keranjang buah yang didalamnya terdapat 5 buah mangga, 2 ;  11 buah dikeranjang;  12 buah dikeranjang; 13 buah dikeranjang;  14 buah dikeranjang;1;1;C.  13 buah dikeranjang
7;Ani membeli 10 biji permen, 3 buah, berapakah sisa permen yang dimiliki Ani ? ; 7  biji permen;  4 biji permen; 6 biji permen; 3 biji permen;1;1;A.  7  biji permen
8;Berapa hasil (6 - 3) x 5  adalah;20;15;11;20;1;1;B.  15
9;Hitunglah 200 + 150 + 20 = berapakah hasilanya ?;270;380;370;470;1;1;C.  370
10;Hasil Pengurangan  12  + 8  =;2;4;6;8;1;1;B.  4
11;24 buah apel + 4 buah apel - 10 buah apel  =;  27  buah apel; 24 buah apel;  28 buah apel;  30 buah apel;1;1;A.  28  buah apel
12;Hasil Pengurangan  12  + 8  =;2;4;6;8;2;1;B.  4
13;24 buah apel + 4 buah apel - 10 buah apel  =;  27  buah apel; 24 buah apel; 28 buah apel;  30 buah apel;2;1;A.  28  buah apel
14;Hasil   dari  5  x 3  =;15;4;6;8;2;1;A. 15
15;Hasil dari  10 x 10 / 5 =;22;20;30;10;2;1;B. 20
16;Hasil Pembagian  100  + 5  =;5;20;6;8;2;1;B.  20
17;Hasil Penjumlahan  24  + 2 / 2  =;13;4;6;8;2;1;A. 13
18;3 buah apel + 4 buah apel  =; 7  buah apel;  4 buah apel;  6 buah apel;  3 buah apel;2;1;A.  7 buah apel
19;Hasil   5  + 3  =;2;4;6;8;2;1;D. 8
20;6 kucing + 5 kucing  =; 2 ekor kucing;  4 ekor kucing;  11 ekor kucing; 12 ekor kucing;2;1;C.  11 ekor kucing
21;Hasil Penjumlahan  2  + 3  =;5;4;6;8;2;1;A.  5
