1;1+3*4;2;4;6;8;1;B.  4
2;5*3/5; 7  buah apel;  4 buah apel; 6 buah apel; 3 buah apel;1;A.  7 buah apel
3; 5+5-7+3;2;4;6;8;1;D. 8
4;6+8/2; 2 ekor kucing;  4 ekor kucing;C.  11 ekor kucing;D.  12 ekor kucing;1;C.  11 ekor kucing
5;7/1*4;5;4;6;8;1;A.  5
6;7*5+2-1*6;  11 buah dikeranjang;  12 buah dikeranjang; 13 buah dikeranjang;  14 buah dikeranjang;1;C.  13 buah dikeranjang
7;5+8-4; 7  biji permen;  4 biji permen; 6 biji permen; 3 biji permen;1;A.  7  biji permen
8;4+2;20;15;11;20;1;B.  15
9;9*2;270;380;370;470;1;C.  370
10;4/2*6-1+5;2;4;6;8;1;B.  4
11;6-5+4;  27  buah apel; 24 buah apel;  28 buah apel;  30 buah apel;1;A.  28  buah apel
12;4+9*7-4;2;4;6;8;2;C. 6
