1;MATEMATIKA;1
2;BAHASA INDONESIA;1
3;BAHASA INGGRIS;1
4;PENDIDIKAN KEWARGANEGARAAN;1
5;PENDIDIKAN AGAMA ISLAM;1
6;PENJASKES;1
7;MATEMATIKA;2
8;BAHASA INDONESIA;2
9;BAHASA INGGRIS;2
10;PENDIDIKAN KEWARGANEGARAAN;2
11;PENDIDIKAN AGAMA ISLAM;2
12;PENJASKES;2
13;MATEMATIKA;3
14;BAHASA INDONESIA;3
15;BAHASA INGGRIS;3
16;PENDIDIKAN KEWARGANEGARAAN;3
17;PENDIDIKAN AGAMA ISLAM;3
18;PENJASKES;3
19;MATEMATIKA;4
20;BAHASA INDONESIA;4
21;BAHASA INGGRIS;4
22;PENDIDIKAN KEWARGANEGARAAN;4
23;PENDIDIKAN AGAMA ISLAM;4
24;PENJASKES;4
25;ILMU PENGETAHUAN ALAM;4
26;ILMU PENGETAHUAN SOSIAL;4
27;MATEMATIKA;5
28;BAHASA INDONESIA;5
29;BAHASA INGGRIS;5
30;PENDIDIKAN KEWARGANEGARAAN;5
31;PENDIDIKAN AGAMA ISLAM;5
32;PENJASKES;5
33;ILMU PENGETAHUAN ALAM;5
34;ILMU PENGETAHUAN SOSIAL;5
35;MATEMATIKA;6
36;BAHASA INDONESIA;6
37;BAHASA INGGRIS;6
38;PENDIDIKAN KEWARGANEGARAAN;6
39;PENDIDIKAN AGAMA ISLAM;6
40;PENJASKES;6
41;ILMU PENGETAHUAN ALAM;6
42;ILMU PENGETAHUAN SOSIAL;6
